Player,Team,Pts,FGM,FGA,Pct,Lng,Blk,XPM,XPA,Pct,Blk
P Dawson,SF,9,3,3,100.0,53,0,0,0,-,0
S Janikowski,OAK,0,2,2,100.0,33,0,2,2,100.0,0
R Lindell,TB,8,2,2,100.0,35,0,2,2,100.0,0
J Feely,ARZ,9,2,2,100.0,35,0,3,3,100.0,0
M Bryant,ATL,4,1,1,100.0,53,0,1,1,100.0,0
J Brown,NYG,6,1,1,100.0,23,0,3,3,100.0,0
J Scobee,JAX,0,2,2,100.0,44,0,3,3,100.0,0
R Gould,CHI,7,2,2,100.0,32,0,1,1,100.0,0
S Suisham,PIT,11,3,3,100.0,37,0,2,2,100.0,0
R Bironas,TEN,9,2,2,100.0,39,0,3,3,100.0,0
D Carpenter,BUF,0,1,1,100.0,20,0,1,1,100.0,0
S Hauschka,SEA,0,4,4,100.0,53,0,3,3,100.0,0
D Bailey,DAL,0,1,1,100.0,37,0,2,2,100.0,0
G Zuerlein,STL,0,1,1,100.0,32,0,5,5,100.0,0
B Walsh,MIN,10,2,2,100.0,40,0,4,4,100.0,0
K Forbath,WSH,0,2,2,100.0,40,0,3,3,100.0,0
J Tucker,BAL,8,2,2,100.0,46,0,2,2,100.0,0
C Sturgis,MIA,0,2,2,100.0,40,0,1,1,100.0,0
N Novak,SD,8,2,3,66.7,40,0,2,2,100.0,0
A Henery,PHI,0,2,3,66.7,41,0,3,3,100.0,0
M Nugent,CIN,0,1,2,50.0,32,0,2,2,100.0,0
M Crosby,GB,7,2,4,50.0,35,0,1,1,100.0,0
G Gano,CAR,0,1,2,50.0,53,0,1,1,100.0,0
R Bullock,HOU,0,1,2,50.0,48,1,3,3,100.0,0
D Akers,DET,0,0,1,0.0,0,0,3,3,100.0,0
G Hartley,NO,7,0,1,0.0,0,0,7,7,100.0,0
