Player,Team,Rec,Yds,Tgt,Avg,TD,1st,Pct,Lng,Fum,FumL
B Golden,ARZ,1,53,3,53.0,0,1,100.0,53,0,0
J Boykin,GB,1,43,6,43.0,0,1,100.0,43,0,0
T Fiammetta,CHI,1,30,1,30.0,0,1,100.0,30,0,0
R Cooper,PHI,4,120,6,30.0,1,4,100.0,47,0,0
P Thomas,NO,1,29,1,29.0,0,1,100.0,29,0,0
J Nelson,GB,4,113,10,28.3,1,3,75.0,64,0,0
L McCoy,PHI,2,55,2,27.5,0,2,100.0,44,0,0
A Jeffery,CHI,1,27,5,27.0,0,1,100.0,27,0,0
B LaFell,NE,4,107,4,26.8,1,2,50.0,79,0,0
D Thomas,DEN,3,78,5,26.0,0,2,66.7,42,0,0
M Goodwin,BUF,2,51,3,25.5,1,2,100.0,40,0,0
J Finley,GB,3,75,7,25.0,0,2,66.7,52,0,0
R Randle,NYG,3,75,5,25.0,1,3,100.0,37,0,0
L Green,SD,1,25,1,25.0,0,1,100.0,25,0,0
T Doss,JAX,4,99,6,24.8,0,2,50.0,63,0,0
M Jones,CIN,3,71,5,23.7,1,3,100.0,42,0,0
M Brown,BAL,3,71,7,23.7,0,2,66.7,59,0,0
S Chandler,BUF,2,47,4,23.5,1,2,100.0,25,0,0
E Sanders,DEN,3,70,6,23.3,1,2,66.7,55,1,0
D Sanzenbacher,CIN,1,23,1,23.0,0,1,100.0,23,0,0
V Davis,SF,8,180,11,22.5,2,5,62.5,61,0,0
J Cook,STL,2,45,2,22.5,0,2,100.0,34,0,0
K Stills,NO,3,64,3,21.3,1,3,100.0,34,0,0
S Moss,WSH,2,42,3,21.0,0,2,100.0,26,0,0
J Jones,BAL,2,42,2,21.0,1,2,100.0,31,0,0
B Watson,NO,3,61,4,20.3,0,2,66.7,32,0,0
D Clark,BAL,4,81,6,20.3,1,3,75.0,45,0,0
L Fitzgerald,ARZ,6,117,12,19.5,1,3,50.0,75,1,1
M Lynch,SEA,4,78,5,19.5,0,2,50.0,55,0,0
T Graham,BUF,4,74,6,18.5,0,3,75.0,47,0,0
L Hankerson,WSH,2,36,6,18.0,0,2,100.0,19,0,0
J Gordon,CLE,7,126,9,18.0,0,7,100.0,36,0,0
D Richardson,STL,1,18,1,18.0,0,1,100.0,18,0,0
R Wayne,IND,5,88,8,17.6,0,3,60.0,35,0,0
S Rice,SEA,2,35,4,17.5,0,1,50.0,24,1,1
H Nicks,IND,4,70,8,17.5,0,4,100.0,31,0,0
A Green,CIN,6,103,11,17.2,1,2,33.3,54,0,0
V Cruz,NYG,4,68,5,17.0,0,4,100.0,23,0,0
D Moore,OAK,5,82,10,16.4,1,5,100.0,39,0,0
D Hopkins,HOU,3,47,5,15.7,0,2,66.7,22,1,1
V Brown,SD,2,31,4,15.5,0,2,100.0,16,0,0
D Bowe,KC,3,46,4,15.3,0,3,100.0,18,0,0
R Streater,OAK,3,46,7,15.3,0,3,100.0,18,0,0
S Hill,NYJ,3,46,8,15.3,0,3,100.0,20,0,0
N Washington,TEN,1,15,4,15.0,0,1,100.0,15,0,0
F Jones,PIT,1,15,1,15.0,0,1,100.0,15,0,0
K Thompkins,NE,3,45,6,15.0,1,3,100.0,21,0,0
J Cumberland,NYJ,4,59,5,14.8,0,3,75.0,29,0,0
C Harbor,JAX,2,29,3,14.5,0,2,100.0,23,0,0
J Reed,WSH,4,58,6,14.5,0,3,75.0,29,0,0
